2013.12.13,08:11,1.63418,1.63419,1.63416,1.63417,13
2013.12.13,08:12,1.63417,1.63420,1.63417,1.63420,12
2013.12.13,08:13,1.63420,1.63425,1.63419,1.63419,42
2013.12.13,08:14,1.63419,1.63424,1.63418,1.63420,26
2013.12.13,08:15,1.63419,1.63423,1.63415,1.63416,23
2013.12.13,08:16,1.63415,1.63416,1.63414,1.63416,7
2013.12.13,08:17,1.63416,1.63418,1.63414,1.63416,35
2013.12.13,08:18,1.63414,1.63415,1.63412,1.63414,11
2013.12.13,08:19,1.63417,1.63417,1.63417,1.63417,6
2013.12.13,08:20,1.63417,1.63417,1.63410,1.63410,26
2013.12.13,08:21,1.63412,1.63412,1.63410,1.63411,7
2013.12.13,08:22,1.63411,1.63414,1.63410,1.63411,12
2013.12.13,08:23,1.63412,1.63416,1.63399,1.63401,30
2013.12.13,08:24,1.63403,1.63405,1.63403,1.63405,18
2013.12.13,08:25,1.63406,1.63407,1.63402,1.63402,11
2013.12.13,08:26,1.63405,1.63413,1.63403,1.63413,30
2013.12.13,08:27,1.63413,1.63415,1.63412,1.63414,18
2013.12.13,08:28,1.63415,1.63422,1.63413,1.63422,27
2013.12.13,08:29,1.63421,1.63430,1.63421,1.63422,22
2013.12.13,08:30,1.63423,1.63438,1.63421,1.63436,74
2013.12.13,08:31,1.63437,1.63440,1.63435,1.63436,33
2013.12.13,08:32,1.63437,1.63437,1.63421,1.63426,27
2013.12.13,08:33,1.63429,1.63431,1.63429,1.63431,10
2013.12.13,08:34,1.63431,1.63432,1.63431,1.63432,25
2013.12.13,08:35,1.63433,1.63435,1.63425,1.63425,44
2013.12.13,08:36,1.63424,1.63424,1.63416,1.63421,29
2013.12.13,08:37,1.63422,1.63433,1.63422,1.63433,9
2013.12.13,08:38,1.63434,1.63434,1.63430,1.63430,3
2013.12.13,08:39,1.63431,1.63431,1.63430,1.63430,5
2013.12.13,08:40,1.63432,1.63435,1.63430,1.63434,8
2013.12.13,08:41,1.63434,1.63434,1.63429,1.63430,25
2013.12.13,08:42,1.63430,1.63430,1.63428,1.63428,27
2013.12.13,08:43,1.63428,1.63431,1.63428,1.63429,20
2013.12.13,08:44,1.63430,1.63432,1.63429,1.63429,14
2013.12.13,08:45,1.63429,1.63433,1.63429,1.63433,11
2013.12.13,08:46,1.63431,1.63435,1.63429,1.63435,9
2013.12.13,08:47,1.63435,1.63437,1.63433,1.63433,22
2013.12.13,08:48,1.63433,1.63440,1.63432,1.63439,28
2013.12.13,08:49,1.63439,1.63453,1.63439,1.63453,66
2013.12.13,08:50,1.63453,1.63455,1.63453,1.63455,15
2013.12.13,08:51,1.63455,1.63460,1.63454,1.63456,17
2013.12.13,08:52,1.63457,1.63460,1.63452,1.63454,25
2013.12.13,08:53,1.63454,1.63457,1.63454,1.63455,13
2013.12.13,08:54,1.63455,1.63460,1.63453,1.63453,23
2013.12.13,08:55,1.63453,1.63456,1.63453,1.63456,29
2013.12.13,08:56,1.63455,1.63456,1.63451,1.63451,15
2013.12.13,08:57,1.63451,1.63453,1.63450,1.63452,20
2013.12.13,08:58,1.63453,1.63453,1.63434,1.63443,48
2013.12.13,08:59,1.63444,1.63444,1.63425,1.63425,121
2013.12.13,09:00,1.63424,1.63441,1.63424,1.63434,100
2013.12.13,09:01,1.63432,1.63438,1.63432,1.63435,52
2013.12.13,09:02,1.63435,1.63439,1.63433,1.63437,45
2013.12.13,09:03,1.63437,1.63440,1.63436,1.63438,43
2013.12.13,09:04,1.63438,1.63438,1.63435,1.63437,38
2013.12.13,09:05,1.63436,1.63436,1.63423,1.63427,58
2013.12.13,09:06,1.63428,1.63432,1.63428,1.63431,45
2013.12.13,09:07,1.63432,1.63432,1.63427,1.63429,18
2013.12.13,09:08,1.63430,1.63432,1.63429,1.63429,16
2013.12.13,09:09,1.63429,1.63433,1.63428,1.63431,26
2013.12.13,09:10,1.63431,1.63433,1.63423,1.63431,57
2013.12.13,09:11,1.63432,1.63437,1.63430,1.63437,49
2013.12.13,09:12,1.63437,1.63451,1.63435,1.63451,57
2013.12.13,09:13,1.63451,1.63460,1.63449,1.63460,67
